"","name","street","city"
"151","KFC","4790 Riverdale Rd","Memphis, TN, 38141"
"152","Central BBQ","2249 Central Ave","Memphis, TN, 38104"
"153","Back Yard Burgers","1723 Union Ave","Memphis, TN, 38104"
"154","KFC","6262 Winchester Rd","Memphis, TN, 38115"
"155","Automatic Slim's","83 S 2nd St","Memphis, TN, 38103"
"156","KFC","3745 E Shelby Dr","Memphis, TN, 38118"
"157","Happy Mexican","7935 Winchester Road","Memphis, TN, 38125"
"158","Dyer's Burgers","205 Beale Street","Memphis, TN, 38103"
"159","Curb Side Casseroles","5130 Wheelis Dr","Memphis, TN, 38117"
"160","Local","95 South Main Street","Memphis, TN, 38103"
"161","Bogie's Deli Downtown","80 Monroe Avenue","Memphis, TN, 38103"
"162","Murphy's Public House","1589 Madison Avenue","Memphis, TN, 38104"
"163","Ben & Jerry's Scoop Shop","5007 Black Rd Ste 110","Memphis, TN, 38117"
"164","Sheridan's Frozen Custard","8075 Macon Road","Memphis, TN, 38018"
"165","McDonald's","1389 Poplar Ave","Memphis, TN, 38104"
"166","Slider Inn","2117 Peabody Avenue","Memphis, TN, 38104"
"167","McDonald's","1755 Getwell Rd","Memphis, TN, 38111"
"168","Red Lobster","7750 Winchester Rd","Memphis, TN, 38125"
"169","McDonald's","3068 S Perkins Rd","Memphis, TN, 38118"
"170","Paulette's Restaurant at the River Inn of Harbor Town","50 Harbor Town Square","Memphis, TN, 38103"
"171","McDonald's","5263 Poplar Ave","Memphis, TN, 38119"
"172","Renee's Sandwich Shop","51 South Main Street","Memphis, TN, 38103"
"173","KFC","3144 S 3rd St","Memphis, TN, 38109"
"174","Bar DKDC","964 South Cooper St.","Memphis, TN, 38104"
"175","KFC","3995 S 3rd St","Memphis, TN, 38109"
"176","KFC","200 N Danny Thomas Blvd","Memphis, TN, 38105"
"177","KFC","2785 Lamar Ave","Memphis, TN, 38114"
"178","P & H Cafe","1532 Madison Avenue","Memphis, TN, 38104"
"179","Church's Chicken","925 Poplar Avenue","Memphis, TN, 38105"
"180","Mellow Mushroom","5138 Park Ave","Memphis, TN, 38117"
"181","Arcade Restaurant","540 S Main St","Memphis, TN, 38103"
"182","McDonald's","7011 E Shelby Dr","Memphis, TN, 38125"
"183","The Brass Door","152 Madison Avenue","Memphis, TN, 38103"
"184","Back Yard Burgers","1709 Whitten Rd","Memphis, TN, 38134"
"185","Midtown Crossing Grill","394 N Watkins St","Memphis, TN, 38104"
"186","The Bar-B-Q Shop","1782 Madison Ave","Memphis, TN, 38104"
"187","El Mezcal","1492 Union Avenue","Memphis, TN, 38104"
